ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.000,0.000,{method 'clear' of 'list' objects}
6530040,0.381,0.000,0.381,0.000,{method 'copy' of 'list' objects}
90497195,3.125,0.000,3.125,0.000,{method 'append' of 'list' objects}
1,0.000,0.000,0.000,0.000,{method 'remove' of 'list' objects}
9432283,0.599,0.000,0.599,0.000,{method 'get' of 'dict' objects}
725566,0.052,0.000,0.052,0.000,{method 'pop' of 'dict' objects}
7868279,0.414,0.000,0.414,0.000,{method 'keys' of 'dict' objects}
47699959,8.777,0.000,8.777,0.000,{method 'items' of 'dict' objects}
2,0.000,0.000,0.000,0.000,{method 'values' of 'dict' objects}
98,0.000,0.000,0.000,0.000,{method 'clear' of 'dict' objects}
725560,0.040,0.000,0.040,0.000,{method 'copy' of 'dict' objects}
1,0.000,0.000,0.000,0.000,{method 'add' of 'set' objects}
1,0.000,0.000,0.000,0.000,{method 'discard' of 'set' objects}
36581531,3.275,0.000,3.275,0.000,{method 'split' of 'str' objects}
69672124,3.721,0.000,3.721,0.000,{method 'lower' of 'str' objects}
45174012,2.448,0.000,2.448,0.000,{method 'strip' of 'str' objects}
2,0.000,0.000,0.000,0.000,{method 'endswith' of 'str' objects}
7/4,0.000,0.000,0.000,0.000,{built-in method builtins.getattr}
1,0.000,0.000,0.000,0.000,{built-in method builtins.hasattr}
98076535,6.842,0.000,7.272,0.000,{built-in method builtins.isinstance}
725562,0.078,0.000,0.078,0.000,{built-in method builtins.iter}
30165731,1.032,0.000,1.032,0.000,{built-in method builtins.len}
2063800,0.363,0.000,47.273,0.000,{built-in method builtins.next}
91046558,15.124,0.000,15.124,0.000,{method 'sub' of 're.Pattern' objects}
71448,0.068,0.000,0.068,0.000,{built-in method _codecs.utf_8_decode}
1451120,0.213,0.000,0.213,0.000,{built-in method _abc._abc_instancecheck}
11,0.000,0.000,0.000,0.000,{method 'acquire' of '_thread.RLock' objects}
11,0.000,0.000,0.000,0.000,{method 'release' of '_thread.RLock' objects}
1,0.000,0.000,0.000,0.000,{built-in method _locale.nl_langinfo}
1,0.000,0.000,0.000,0.000,{built-in method io.open}
2,0.000,0.000,0.000,0.000,{method 'seek' of '_io.TextIOWrapper' objects}
1,0.000,0.000,0.000,0.000,{method 'tell' of '_io.TextIOWrapper' objects}
1,0.000,0.000,0.000,0.000,{method 'disable' of '_lsprof.Profiler' objects}
1,0.000,0.000,0.000,0.000,codecs.py:260(__init__)
2,0.000,0.000,0.000,0.000,codecs.py:276(reset)
1,0.000,0.000,0.000,0.000,codecs.py:309(__init__)
71448,0.042,0.000,0.111,0.000,codecs.py:319(decode)
2,0.000,0.000,0.000,0.000,codecs.py:327(reset)
1,0.000,0.000,0.000,0.000,codecs.py:871(open)
1451120,0.217,0.000,0.430,0.000,abc.py:96(__instancecheck__)
1,0.062,0.062,176.509,176.509,profiling.py:11(read_data)
