ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.000,0.000,{method 'clear' of 'list' objects}
3155787,0.198,0.000,0.198,0.000,{method 'copy' of 'list' objects}
80089380,3.387,0.000,3.387,0.000,{method 'append' of 'list' objects}
1,0.000,0.000,0.000,0.000,{method 'remove' of 'list' objects}
5919837,0.410,0.000,0.410,0.000,{method 'get' of 'dict' objects}
1382024,0.101,0.000,0.101,0.000,{method 'pop' of 'dict' objects}
3836525,0.217,0.000,0.217,0.000,{method 'keys' of 'dict' objects}
25432555,3.475,0.000,3.475,0.000,{method 'items' of 'dict' objects}
2,0.000,0.000,0.000,0.000,{method 'values' of 'dict' objects}
98,0.000,0.000,0.000,0.000,{method 'clear' of 'dict' objects}
1,0.000,0.000,0.000,0.000,{method 'add' of 'set' objects}
1,0.000,0.000,0.000,0.000,{method 'discard' of 'set' objects}
83575260,7.096,0.000,7.096,0.000,{method 'split' of 'str' objects}
350643,0.050,0.000,0.050,0.000,{method 'find' of 'str' objects}
41645652,2.328,0.000,2.328,0.000,{method 'lower' of 'str' objects}
40044689,1.796,0.000,1.796,0.000,{method 'lstrip' of 'str' objects}
1051929,0.165,0.000,0.165,0.000,{method 'rfind' of 'str' objects}
83925903,4.437,0.000,4.437,0.000,{method 'rstrip' of 'str' objects}
83575260,3.411,0.000,3.411,0.000,{method 'strip' of 'str' objects}
1,0.000,0.000,0.000,0.000,{method 'endswith' of 'str' objects}
1051929,0.099,0.000,0.099,0.000,{built-in method builtins.hasattr}
93323341,6.840,0.000,7.081,0.000,{built-in method builtins.isinstance}
43881214,1.848,0.000,1.848,0.000,{built-in method builtins.len}
680738,0.147,0.000,0.243,0.000,{built-in method builtins.next}
350643,0.031,0.000,0.031,0.000,{built-in method sys._getframe}
350643,0.027,0.000,0.027,0.000,{built-in method posix.getpid}
1051929,0.063,0.000,0.063,0.000,{built-in method posix.fspath}
49462538,8.492,0.000,8.492,0.000,{method 'sub' of 're.Pattern' objects}
40044689,4.481,0.000,4.481,0.000,{method 'findall' of 're.Pattern' objects}
