ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.000,0.000,{method 'clear' of 'list' objects}
3155787,0.191,0.000,0.191,0.000,{method 'copy' of 'list' objects}
120134069,4.072,0.000,4.072,0.000,{method 'append' of 'list' objects}
1,0.000,0.000,0.000,0.000,{method 'remove' of 'list' objects}
4558362,0.295,0.000,0.295,0.000,{method 'get' of 'dict' objects}
350649,0.025,0.000,0.025,0.000,{method 'pop' of 'dict' objects}
3836525,0.207,0.000,0.207,0.000,{method 'keys' of 'dict' objects}
25783198,3.578,0.000,3.578,0.000,{method 'items' of 'dict' objects}
2,0.000,0.000,0.000,0.000,{method 'values' of 'dict' objects}
98,0.000,0.000,0.000,0.000,{method 'clear' of 'dict' objects}
350643,0.020,0.000,0.020,0.000,{method 'copy' of 'dict' objects}
1,0.000,0.000,0.000,0.000,{method 'add' of 'set' objects}
1,0.000,0.000,0.000,0.000,{method 'discard' of 'set' objects}
43530571,3.613,0.000,3.613,0.000,{method 'split' of 'str' objects}
38159770,2.039,0.000,2.039,0.000,{method 'lower' of 'str' objects}
48068383,2.442,0.000,2.442,0.000,{method 'strip' of 'str' objects}
2,0.000,0.000,0.000,0.000,{method 'endswith' of 'str' objects}
7/4,0.000,0.000,0.000,0.000,{built-in method builtins.getattr}
1,0.000,0.000,0.000,0.000,{built-in method builtins.hasattr}
52928011,3.732,0.000,3.946,0.000,{built-in method builtins.isinstance}
350645,0.042,0.000,0.042,0.000,{built-in method builtins.iter}
40044689,1.275,0.000,1.275,0.000,{built-in method builtins.len}
1031382,0.193,0.000,53.023,0.000,{built-in method builtins.next}
49462538,8.270,0.000,8.270,0.000,{method 'sub' of 're.Pattern' objects}
69029,0.086,0.000,0.086,0.000,{built-in method _codecs.utf_8_decode}
701286,0.106,0.000,0.106,0.000,{built-in method _abc._abc_instancecheck}
11,0.000,0.000,0.000,0.000,{method 'acquire' of '_thread.RLock' objects}
11,0.000,0.000,0.000,0.000,{method 'release' of '_thread.RLock' objects}
1,0.000,0.000,0.000,0.000,{built-in method _locale.nl_langinfo}
1,0.000,0.000,0.000,0.000,{built-in method io.open}
2,0.001,0.000,0.001,0.000,{method 'seek' of '_io.TextIOWrapper' objects}
1,0.000,0.000,0.000,0.000,{method 'tell' of '_io.TextIOWrapper' objects}
1,0.000,0.000,0.000,0.000,codecs.py:260(__init__)
2,0.000,0.000,0.000,0.000,codecs.py:276(reset)
1,0.000,0.000,0.000,0.000,codecs.py:309(__init__)
69029,0.039,0.000,0.124,0.000,codecs.py:319(decode)
2,0.000,0.000,0.000,0.000,codecs.py:327(reset)
1,0.000,0.000,0.000,0.000,codecs.py:871(open)
701286,0.108,0.000,0.214,0.000,abc.py:96(__instancecheck__)
1,0.031,0.031,121.619,121.619,profiling.py:11(read_data)
1,0.454,0.454,122.073,122.073,profiling.py:22(main)
1,0.000,0.000,0.000,0.000,_bootlocale.py:33(getpreferredencoding)
1,0.000,0.000,0.000,0.000,{method 'disable' of '_lsprof.Profiler' objects}
49462538,8.777,0.000,28.991,0.000,re.py:203(sub)
