ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.000,0.000,{method 'clear' of 'list' objects}
3155787,0.190,0.000,0.190,0.000,{method 'copy' of 'list' objects}
120134069,4.100,0.000,4.100,0.000,{method 'append' of 'list' objects}
1,0.000,0.000,0.000,0.000,{method 'remove' of 'list' objects}
5259648,0.346,0.000,0.346,0.000,{method 'get' of 'dict' objects}
350649,0.028,0.000,0.028,0.000,{method 'pop' of 'dict' objects}
3836525,0.219,0.000,0.219,0.000,{method 'keys' of 'dict' objects}
25783198,2.789,0.000,2.789,0.000,{method 'items' of 'dict' objects}
2,0.000,0.000,0.000,0.000,{method 'values' of 'dict' objects}
98,0.000,0.000,0.000,0.000,{method 'clear' of 'dict' objects}
350643,0.021,0.000,0.021,0.000,{method 'copy' of 'dict' objects}
1,0.000,0.000,0.000,0.000,{method 'add' of 'set' objects}
1,0.000,0.000,0.000,0.000,{method 'discard' of 'set' objects}
43530571,3.652,0.000,3.652,0.000,{method 'split' of 'str' objects}
350643,0.048,0.000,0.048,0.000,{method 'find' of 'str' objects}
38159770,2.029,0.000,2.029,0.000,{method 'lower' of 'str' objects}
1051929,0.152,0.000,0.152,0.000,{method 'rfind' of 'str' objects}
48068383,2.505,0.000,2.505,0.000,{method 'strip' of 'str' objects}
2,0.000,0.000,0.000,0.000,{method 'endswith' of 'str' objects}
7/4,0.000,0.000,0.000,0.000,{built-in method builtins.getattr}
1051930,0.094,0.000,0.094,0.000,{built-in method builtins.hasattr}
53629297,3.821,0.000,4.053,0.000,{built-in method builtins.isinstance}
350645,0.044,0.000,0.044,0.000,{built-in method builtins.iter}
40044689,1.277,0.000,1.277,0.000,{built-in method builtins.len}
1031382,0.199,0.000,53.671,0.000,{built-in method builtins.next}
350643,0.028,0.000,0.028,0.000,{built-in method sys._getframe}
350643,0.026,0.000,0.026,0.000,{built-in method posix.getpid}
1051929,0.057,0.000,0.057,0.000,{built-in method posix.fspath}
49462538,8.206,0.000,8.206,0.000,{method 'sub' of 're.Pattern' objects}
69029,0.060,0.000,0.060,0.000,{built-in method _codecs.utf_8_decode}
701286,0.112,0.000,0.112,0.000,{built-in method _abc._abc_instancecheck}
350643,0.069,0.000,0.069,0.000,{built-in method time.time}
